Valores de variáveis;;;;;
Nome;Descrição;Nível de medição;Catergoria;Descrição da categoria;Tamanho
;;;2625;TV Rádio Clube de Pernambuco;
;;;2626;TV Tabocas;
;;;2627;TV Tribuna (Band);
;;;2628;TV Vitória (PE);
;;;2630;TV Vitória (Vitória de Santo Antão);
;;;2631;TV Correio (Record);
;;;2702;Cada Minuto TV;
;;;2703;TNH1 TV;
;;;2704;TV Alagoas (SBT);
;;;2705;Assembleia (AL);
;;;2707;TV Farol;
;;;2709;TV Maceió;
;;;2710;TV Mar;
;;;2711;TV Pajuçara;
;;;2712;TV Pajuçara Agreste-Sertão;
;;;2800;TV Alese;
;;;2801;TV Aperipê;
;;;2802;TV Aracaju;
;;;2803;TV Atalaia (SBT);
;;;2804;TV Caju;
;;;2806;TV Gênesis;
;;;2807;TV Sergipe (Globo);
;;;2808;TV Simão Dias;
;;;2809;TV Cidade (Canal 20);
;;;2901;Ideal TV (TV IMPD);
;;;2902;Rede Gênesis;
;;;2904;Boas Novas;
;;;2905;RBTV (BA);
;;;2907;TV A Cara da Bahia (NGT);
;;;2908;TV Aratu;
;;;2909;TV Aratu (SBT);
;;;2910;TV Bahia  (Globo);
;;;2911;TV Baiana;
;;;2912;TV Camaçari;
;;;2915;TV J;
;;;2916;TV Oeste (Globo);
;;;2917;TV Salvador (BA);
;;;2918;TV São Francisco (Globo);
;;;2919;TV Subaé (Globo);
;;;2920;TV Sudoeste (Globo);
;;;2921;TV Sul Bahia;
;;;3100;Rede Minas;
;;;3101;Rede Super (MG);
;;;3102;Rede Vitoriosa (SBT);
;;;3103;TV Alterosa (SBT);
;;;3104;TV Alterosa Belo Horizonte;
;;;3105;TV Alterosa Divinópolis;
;;;3106;TV Alterosa Leste;
;;;3107;TV Alterosa Varginha;
;;;3108;TV Betim;
;;;3109;TV Candidés;
;;;3110;TV Centro Minas;
;;;3111;TV Educar (TV HORIZONTE);
;;;3112;TV Globo Minas;
;;;3113;TV Horizonte;
;;;3115;TV Itatiaia (TV Balcão);
;;;3116;TV Juiz de Fora;
;;;3117;TV Lafaiete;
;;;3118;TV Leste (Record);
;;;3119;TV Libertas;
;;;3120;TV Norte (MG);
;;;3121;TV Paranaíba (Record);
;;;3122;TV Plan;
;;;3123;TV Poços;
;;;3124;TV Princesa;
;;;3125;TV Rio Doce;
;;;3126;TV Sete Lagoas;
;;;3127;TV Sudoeste (MG);
;;;3129;TV Vale Minas;
;;;3130;TV Viçosa;
;;;3131;TV Vila Rica;
;;;3132;TV Novo Tempo (CE) Rede Adventista de Comunicação;
;;;3134;TV Novo Tempo (RS);
;;;3135;TV Novo Tempo (SC);
;;;3136;TV Novo Tempo (SP);
;;;3142;TV IURD;
;;;3200;Central Norte de Televisão;
;;;3201;GVNEWS TV;
;;;3202;TV Capital;
;;;3203;TV Capixaba (Band);
;;;3205;TV Guarapari;
;;;3206;Litorânea;
;;;3207;TV Luz;
;;;3208;TV Sim;
