Valores de variáveis;;;;;
Nome;Descrição;Nível de medição;Catergoria;Descrição da categoria;Tamanho
;;;3455;O Vale Da Pedra;
;;;3456;Pampulha;
;;;3457;Panorama Regional (Cataguases);
;;;3458;Panorama Regional (Santos Dumont);
;;;3459;Pontal;
;;;3460;Ponto Final (MG);
;;;3461;Poté Press;
;;;3462;Primeiro Jornal;
;;;3463;Sete Dias;
;;;3464;S´passo;
;;;3465;Sul de Minas;
;;;3466;Super Notícia;
;;;3467;Tribuna (MG);
;;;3468;Tribuna de Lavras (MG);
;;;3469;Tribuna de Minas (MG);
;;;3470;Tribuna Formiguense (MG);
;;;3471;Tribuna Informa (MG);
;;;3472;Tribuna Livre (MG);
;;;3473;Tribuna Popular (MG);
;;;3474;Tudo;
;;;3475;Vale do Aço;
;;;3476;Vespasiano Em Notícias;
;;;3477;Você na Net;
;;;3478;A Gazeta (MS);
;;;3479;Correio de Corumbá;
;;;3480;Correio de Ladário;
;;;3481;Correio do Estado (MS);
;;;3482;Diário Corumbaense;
;;;3483;Diário MS;
;;;3484;Folha de Paranaíba (MS);
;;;3485;Gazeta de Costa Rica;
;;;3486;Hoje + (Ex Hoje Ms);
;;;3487;Imagem;
;;;3488;Impacto (MS);
;;;3489;Jornal de Domingo (MS);
;;;3490;Jornal do Povo (MS);
;;;3491;Jornal Entrevista;
;;;3492;Jornal Regional (MS);
;;;3493;Liberdade Ms;
;;;3494;Midiamaxdiário;
;;;3495;Notícias Do Estado;
;;;3496;O Estado de Mato Grosso Do Sul;
;;;3497;O Pantaneiro (MS);
;;;3498;Tribuna Livre (MS);
;;;3499;A Gazeta (MT);
;;;3500;A Tribuna (MT);
;;;3501;Arinos;
;;;3502;Correio Cacerense;
;;;3503;Correio do Dia;
;;;3504;Correio Várzea-grandense;
;;;3505;Diário da Serra (MT);
;;;3506;Diário Regional (MT);
;;;3507;Diário Regional Mt (Ex Diário de Sapezal);
;;;3508;Folha do Estado (MT);
;;;3509;Folha do Norte (MT);
;;;3510;Mato Grosso do Norte;
;;;3511;O Diário (MT);
;;;3512;O Diário (MT);
;;;3513;Tribuna de Tangará (MT);
;;;3514;Amazônia (Ex Amazônia Hoje);
;;;3515;Carajás O Jornal;
;;;3516;Diário do Pará;
;;;3517;O Estado do Tapajós;
;;;3518;O Liberal (PA);
;;;3519;Opinião (PA);
;;;3520;Tribuna de Caeté (PA);
;;;3521;Voz de Nazaré;
;;;3522;A União;
;;;3523;Correio da Paraíba;
;;;3524;Gazeta do Alto Piranhas;
;;;3525;Já Paraíba;
;;;3526;Jornal da Paraíba;
;;;3527;A Vanguarda;
;;;3528;Aqui PE;
;;;3529;Destak (PE);
;;;3530;Diário da Manhã (PE);
;;;3531;Diário de Pernambuco;
;;;3532;Extra de Pernambuco;
;;;3533;Folha de Pernambuco;
;;;3534;Gazeta do São Francisco;
;;;3535;Jornal Cidade (PE);
;;;3536;Jornal do Commercio;
;;;3537;Jornal do Sertão;
;;;3538;Diário do Povo;
;;;3539;Meio Norte;
;;;3540;O Dia (PI);
;;;3541;A Cidade (PR);
;;;3542;A Cidade Regional (PR);
;;;3543;A Gazeta do Iguaçu (PR);
;;;3544;A Semana (PR);
;;;3545;A Voz Do Paraná;
;;;3546;A Voz Do Povo Folha da Região (PR);
;;;3547;Agora Paraná;
;;;3548;Bem Paraná (Ex Jornal do Estado);
;;;3549;Boa Vista Em Páginas;
;;;3550;Boas Notícias;
;;;3551;Cianorte Agora;
;;;3552;Correio do Cidadão;
;;;3553;Correio do Povo (PR);
;;;3554;Correio Paranaense;
;;;3555;Diário de Guarapuava;
;;;3556;Diário do Noroeste (PR);
;;;3557;Diário dos Campos;
;;;3558;Diário Metropolitano (Ex- O Metropolitano);
;;;3559;Expresso Notícias;
;;;3560;Folha Curitibana;
;;;3561;Folha da Cidade (PR);
;;;3562;Folha de Campo Largo;
;;;3563;Folha de Irati;
;;;3564;Folha de Londrina;
;;;3565;Folha de Palotina;
;;;3566;Folha de Tamandaré;
;;;3567;Folha do Batel;
;;;3568;Folha do Litoral News (Ex Folha do Litoral);
;;;3569;Folha do Norte (PR);
;;;3570;Folha Extra;
;;;3571;Folha Nova Norte (Ex Folha Nova);
;;;3572;Folha Regional de Cianorte;
;;;3573;Gazeta da Cidade (PR);
;;;3574;Gazeta da Vizinhança;
;;;3575;Gazeta de Palmeira;
;;;3576;Gazeta do Centro Oeste;
;;;3577;Gazeta do Paraná;
;;;3578;Gazeta do Povo;
;;;3579;Gazeta Regional (Goioerê);
;;;3580;Gazeta Regional (Mandaguari);
;;;3582;Hoje Centro Sul;
;;;3583;Hoje Notícias (PR);
;;;3584;Impacto Paraná;
;;;3585;Indústria & Comércio;
;;;3586;Jornal Boas Notícias;
;;;3587;Jornal Caiçara;
;;;3588;Jornal Cataratas;
;;;3589;Jornal da Manhã (PR);
;;;3590;Jornal de Beltrão;
;;;3591;Jornal de Colombo;
;;;3592;Jornal de Londrina;
;;;3593;Jornal do Oeste (PR);
;;;3595;Jornal Meio Ambiente;
;;;3596;Jornal Notícias Paraná (Ex Jornal Paraná);
;;;3597;Jornal Tribuna Hoje ( Ex- A Tribuna do  Povo);
;;;3598;Mensageiro;
;;;3599;Metro (PR);
;;;3600;Metrópole;
;;;3601;Nossa Folha;
;;;3602;Nosso Dia (Ex - Folha Norte);
;;;3603;O Diário do Norte Do Paraná;
;;;3604;O Paraná;
;;;3605;O Popular Do Paraná;
;;;3606;O Povo News;
;;;3607;O Presente (PR);
;;;3608;O Radar;
;;;3609;O Regional (Assis Chateaubriand);
;;;3610;O Regional (Nova Esperança);
;;;3611;O Trombeta;
;;;3612;Página Um;
;;;3613;Paraná Centro;
;;;3614;Pérola do Norte;
;;;3615;Tribuna da Região De Goioerê (PR);
;;;3616;Tribuna das Cidades (PR);
;;;3617;Tribuna de Cianorte (PR);
;;;3618;Tribuna do Interior (PR);
;;;3619;Tribuna do Norte (PR);
;;;3620;Tribuna do Paraná (PR);
;;;3621;Tribuna do Povo (PR);
;;;3622;Tribuna do Vale (PR);
;;;3623;Umuarama Ilustrado;
;;;3624;União (Campina Grande Do Sul);
;;;3625;União (Londrina);
;;;3626;Voz D´Oeste;
;;;3627;A Cidade (RJ);
;;;3628;A Folha (Santo Antônio De Pádua) (RJ);
;;;3629;A Folha (Paraíba Do Sul) (RJ);
;;;3630;A Folha da Região (RJ);
;;;3631;A Folha Litorânea (RJ);
;;;3632;A Tribuna (RJ);
;;;3633;A Voz da Cidade (RJ);
;;;3634;A Voz da Costa Verde (RJ);
;;;3635;A Voz da Favela (RJ);
;;;3636;A Voz da Serra (RJ);
;;;3637;A Voz de Araruama (RJ);
;;;3638;A Voz de Maricá (RJ);
;;;3639;A Voz do Povo (RJ);
;;;3640;A Voz dos Municípios Fluminenses;
;;;3641;Aqui;
;;;3642;Boa Semente;
;;;3643;Capital Mercado & Negócios;
;;;3644;Cartaz Post (Edição Cartazes);
;;;3645;Corporativo;
;;;3646;Correio da Lavoura;
;;;3647;Correio do Interior;
;;;3648;Correio Espírita;
;;;3649;Correio Social;
;;;3650;Dc News;
;;;3651;Destak (RJ);
;;;3652;Diário Comercial;
;;;3653;Diário da Costa Do Sol;
;;;3654;Diário de Petrópolis;
;;;3655;Diário do Posto;
;;;3656;Diário do Vale (RJ);
;;;3657;Diário Mercantil;
;;;3658;Enfoque;
;;;3659;Enter;
;;;3660;Esporte Total E Notícias;
;;;3661;Exato (Ex Interpress);
;;;3662;Expresso da Informação (RJ);
;;;3663;Expresso Regional (RJ);
;;;3664;Extra (RJ);
;;;3665;Foco Regional;
;;;3666;Folha da Cidade (RJ);
;;;3667;Folha da Manhã (RJ);
;;;3668;Folha da Terra (RJ);
;;;3669;Folha de Niterói;
;;;3670;Folha de Teresópolis;
;;;3671;Folha Dirigida;
;;;3672;Folha do Interior;
;;;3673;Folha dos Lagos;
;;;3674;Folha dos Municípios (RJ);
;;;3675;Folha Fluminense;
;;;3676;Folha Militar;
;;;3679;Gazeta de Itaperuna E Região;
;;;3680;Gazeta Niteroiense;
;;;3681;Gazeta Rio Bonito;
;;;3682;Ilha Notícias;
;;;3683;Imprensa Livre (RJ);
;;;3684;Integração (RJ);
;;;3685;Jornal Atual (RJ);
;;;3686;Jornal Bafafá 100% Opinião;
;;;3687;Jornal Completo;
;;;3688;Jornal da Cidade (RJ);
;;;3689;Jornal da Gente (RJ);
;;;3690;Jornal da Região (RJ);
;;;3691;Jornal de Hoje;
;;;3692;Jornal de Icaraí;
;;;3693;Jornal de Itaipava;
;;;3694;Jornal de Letras;
;;;3695;Jornal de Niterói;
;;;3696;Jornal de Petrópolis;
;;;3698;Jornal do Interior;
;;;3699;Jornal Dois Estados;
;;;3700;Jornal Dos Municípios (Ex - A Folha do s Municípios);
;;;3701;Jornal Fonseca Bairros;
;;;3702;Jornal Gospel Lagos;
;;;3703;Jornal Hora Certa;
;;;3704;Jornal Independente;
;;;3705;Jornal Lemos;
;;;3706;Jornal Local;
;;;3707;Jornal Mais (Bom Jardim);
;;;3708;Jornal Tipo Carioca;
;;;3709;Jps- Jornal de Paraíba Do Sul;
;;;3710;Lance!;
;;;3711;Litoral De Saquarema;
;;;3712;Mais - Informação Por Menos ( Ex- Vencer, Vencer, Vencer);
;;;3713;Maré;
;;;3714;Marola;
;;;3715;Meia Hora;
;;;3716;Mercado e Eventos;
;;;3717;Monitor Mercantil;
;;;3718;Noroeste Notícias;
;;;3719;Nosso Tempo;
;;;3720;O Companheiro;
;;;3721;O Debate;
;;;3722;O Debate Diário de Macaé;
;;;3723;O Dia (RJ);
;;;3724;O Diário (RJ);
;;;3725;O Diário de Teresópolis;
;;;3726;O Fluminense;
;;;3727;O Globo;
;;;3728;O Itaboraí;
;;;3729;O Itaperunense;
;;;3730;O Jornal Livre;
;;;3731;O Povo (RJ);
;;;3732;O Regional (RJ);
;;;3733;O São Gonçalo;
;;;3734;O Saquá;
;;;3735;O Sol;
;;;3736;O Testemunho De Fé;
;;;3737;Opção Jornal de Niterói;
;;;3738;Panorama (RJ);
;;;3739;Petrópolis Em Cena;
;;;3740;Planeta Baixada;
;;;3741;Poiésis;
;;;3742;Publimetro (Metro);
;;;3743;Renascer Gospel;
;;;3744;RJSports (Jornal Dos Sports);
;;;3745;Santa Rosa;
;;;3746;Serramar;
;;;3747;Teresópolis Jornal;
;;;3748;Tribuna da Serra (RJ);
;;;3749;Tribuna de Petrópolis (RJ);
;;;3750;Tribuna do Comércio (RJ);
;;;3751;Tribuna Serrana;
;;;3752;ZM Notícias;
;;;3753;Jornal de Fato (RN);
;;;3754;Jornal de Hoje (Vespertino);
;;;3755;Metropolitano;
;;;3756;Novo Jornal;
;;;3757;Potiguar Notícias;
;;;3758;Tribuna do  Norte (RN);
;;;3759;A Gazeta de Rondônia (RO);
;;;3760;Correio de Notícias (RO);
;;;3761;Correio de Notícias (Ex- Correio de Vilhena) (RO);
;;;3762;Correio Popular De Rondônia;
;;;3763;Diário da Amazônia;
;;;3764;Folha da Mata (RO);
;;;3765;Folha de Colorado;
;;;3766;Folha de Vilhena;
;;;3767;Folha do Sul;
;;;3768;Folha do Vale (RO);
;;;3769;O Estadão do Norte (RO);
;;;3770;Rondônia Atualidades;
;;;3771;Tribuna do Povo (RO);
;;;3772;Tribuna Popular (RO);
;;;3773;Folha de Boa Vista;
;;;3774;A Cidade (RS);
;;;3775;A Folha Regional (RS);
;;;3776;A Fonte;
;;;3777;A Gazeta (RS);
;;;3778;A Hora Do Vale;
;;;3779;A Integração;
;;;3780;A Notícia (RS);
;;;3781;A Notícia Do Vale (RS);
;;;3782;A Opinião;
;;;3783;A Palavra (Ex - O Guia) (RS);
;;;3784;A Plateia (RS);
;;;3785;A Razão;
;;;3786;A Região;
;;;3787;A Semana (RS);
;;;3788;A Tribuna Regional (RS);
;;;3789;A Vindima;
;;;3790;Abc Domingo;
;;;3791;Agora (RS);
;;;3792;Antena;
;;;3793;Arauto Comunitário;
;;;3794;Atos e Fatos (RS);
;;;3795;Atualidades;
;;;3796;Bem Estar (RS);
;;;3797;Bem Estar (Central) (RS);
;;;3798;Bem Estar Zona Sul (RS);
;;;3799;Bom Dia (RS);
;;;3800;Butiá Notícias;
;;;3801;Capital Das Praias;
;;;3802;Cidade (RS);
;;;3803;Cidade Leste (RS);
;;;3804;Clicksíndico;
;;;3805;Comércio Do Povo;
;;;3806;Contexto (RS);
;;;3807;Cooperjornal;
;;;3808;Correio de Cachoeirinha;
;;;3809;Correio de Gravataí;
;;;3810;Correio Dinâmico;
;;;3811;Correio do Pampa;
;;;3812;Correio do Povo (RS);
;;;3813;Correio do Sul (RS);
;;;3814;Correio Livre;
;;;3815;Correio Riograndense;
;;;3816;Correio Rural;
;;;3817;Cs Zona Sul;
;;;3818;Destaque (RS);
;;;3819;Diário Serrano;
;;;3820;Diário da Fronteira;
;;;3821;Diário da Manhã (Passo Fundo);
;;;3822;Diário da Manhã (Pelotas);
;;;3823;Diário de Alegrete;
;;;3824;Diário de Cachoeirinha;
;;;3825;Diário de Canoas;
;;;3826;Diário de Santa Maria;
;;;3827;Diário de Viamão;
;;;3828;Diário Gaúcho;
;;;3829;Diário Gazeta;
;;;3830;Diário Popular;
;;;3831;Exclusivo;
;;;3832;Expresso Minuano;
;;;3833;Extra Classe;
;;;3834;Folha de Caxias;
;;;3835;Folha de Quaraí;
;;;3836;Folha de São Borja;
;;;3837;Folha de Soledade;
;;;3838;Folha do Lami;
;;;3839;Folha do Litoral (RS);
;;;3840;Folha do Mate;
;;;3841;Folha do Nordeste;
;;;3842;Folha do Sarandi;
;;;3843;Folha Espumosense;
;;;3844;Folha Giruaense;
;;;3845;Folha Patrulhense;
;;;3846;Folha Popular (RS);
;;;3847;Folha Regional (RS);
;;;3848;Força do Vale;
;;;3849;Gazeta Centro Sul;
;;;3850;Gazeta de Caçapava;
;;;3851;Gazeta de Caxias;
;;;3852;Gazeta de Rosário;
;;;3853;Gazeta do Sul;
;;;3854;Gazeta Regional (Santa Rosa);
;;;3855;Gazeta Regional (São Pedro Do Sul);
;;;3856;Geramigos;
;;;3857;Geramigos Zona Sul;
;;;3858;Hoje SB;
;;;3859;Hora H;
;;;3860;Informativo Regional (Guaporé);
;;;3861;Informativo Regional (Soledade);
;;;3862;Integração (RS);
;;;3863;Integração da Serra;
;;;3864;Jornal Canudos;
;;;3865;Jornal da Cidade (RS);
;;;3866;Jornal da Estação;
;;;3867;Jornal das Missões;
;;;3868;Jornal de Alvorada;
;;;3869;Jornal de Cachoeirinha;
;;;3870;Jornal de Capão;
;;;3871;Jornal de Gramado;
;;;3872;Jornal de Gravataí;
;;;3873;Jornal de Ibiá;
;;;3874;Jornal de Viamão;
;;;3875;Jornal do Centro;
;;;3876;Jornal do Comércio (RS);
;;;3877;Jornal do Mar;
;;;3878;Jornal do Mercado;
;;;3879;Jornal do Povo (RS);
;;;3880;Jornal Dois Irmãos;
;;;3881;Jornal Folha do Sul;
;;;3882;Jornal JS;
;;;3883;Jornal O Regional ( Ex - A Folha Regional);
;;;3884;Jornal Popular;
;;;3886;Liberal;
;;;3887;Líder do Vale;
;;;3888;Mais Petrópolis;
;;;3889;Metro (RS);
;;;3890;Minuano;
;;;3891;Momento;
;;;3892;Jornal NH;
;;;3893;Noite, Festa & Informação;
;;;3894;Noroeste;
;;;3895;Notícia - O Nosso Jornal;
;;;3896;Nova Folha ( Ex Folha Guaibense);
;;;3897;Nova Geração;
;;;3898;Novo Horizonte;
;;;3899;Novo Tempo (Garibaldi);
;;;3900;Novo Tempo (Tapejara);
;;;3901;O Cristóvão;
;;;3902;O Diário da Encosta Da Serra;
;;;3903;O Dinâmico;
;;;3904;O Eco Do Vale;
;;;3905;O Estafeta;
;;;3906;O Farrapo;
;;;3907;O Farroupilha;
;;;3908;O Fato do Vale;
;;;3909;O Florense;
;;;3910;O Imparcial (RS);
;;;3911;O Informativo (Lajeado);
;;;3912;O Informativo (Teutônia);
;;;3913;O Jornalecão;
;;;3914;O Nacional;
;;;3915;O Pequeno Aprendiz;
;;;3916;O Sul;
;;;3917;O Timoneiro;
;;;3918;Opinião (RS);
;;;3919;Panorama (RS);
;;;3920;Panorama Regional;
;;;3921;Pioneiro (RS);
;;;3922;Ponche Verde;
;;;3923;Portal De Notícias;
;;;3924;Repercussão;
;;;3925;Riovale Jornal;
;;;3926;Rota Do Mar;
;;;3927;RS 115 Regional;
;;;3928;RS Norte;
;;;3929;Semanal;
;;;3930;Sentinela Do Jacuí;
;;;3931;Sprint Final;
;;;3932;Toda Hora;
;;;3933;Tradição Regional;
;;;3934;Tribuna da Cidade (RS);
;;;3935;Tribuna da Produção (RS);
;;;3936;Tribuna das Cidades (RS);
;;;3937;Tribuna de Restinga (RS);
;;;3938;Troca Troca Uirapuru;
;;;3939;Vitrine Extremo Sul;
;;;3940;Vitrine Gaúcha;
;;;3941;Voz Regional (RS);
;;;3942;VS;
;;;3943;Zero Hora;
;;;3944;A Cidade (Rio Do Sul) (SC);
;;;3945;A Cidade (Timbó) (SC);
;;;3946;A Coluna;
;;;3947;A Crítica (SC);
;;;3948;A Gazeta (Jaraguá Do Sul) (SC);
;;;3949;A Gazeta (São Bento Do Sul) (SC);
;;;3950;A Gazeta do Vale (SC);
;;;3951;A Hora do Sul ( Ex- Diário de Criciúma);
;;;3952;A Notícia (SC);
;;;3953;A Palavra (SC);
;;;3954;A Realidade;
;;;3955;A Semana (SC);
;;;3956;A Semana De Curitibanos;
;;;3957;A Sua Voz;
;;;3958;A Tribuna (Criciúma) (SC);
;;;3959;A Tribuna (Videira) (SC);
;;;3960;A Verdade;
;;;3961;A Vitrine;
;;;3962;A Voz de Brusque (SC);
;;;3963;Alto Uruguai;
;;;3964;Amorim;
;;;3965;Bella Alliança;
;;;3966;Biguaçu em Foco;
;;;3967;Cidadela;
;;;3968;Cocal Notícias;
;;;3969;Correio Catarinense;
;;;3970;Correio de Santa Catarina;
;;;3971;Correio do Contestado;
;;;3972;Correio do Município;
;;;3973;Correio do Norte;
;;;3974;Correio do Oeste;
;;;3975;Correio do Sul (SC);
;;;3976;Correio Lageano;
;;;3977;Correio Otaciliense;
;;;3978;Cruzeiro Catarinense;
;;;3979;Destaque (SC);
;;;3980;Destaque Regional;
;;;3981;Diarinho - Diário do Litoral;
;;;3982;Diário Catarinense;
;;;3983;Diário da Cidade;
;;;3984;Diário Data X (Ex Data X);
;;;3985;Diário de Notícias (SC);
;;;3986;Diário de Riomafra;
;;;3987;Diário do Alto Vale;
;;;3988;Diário do Iguaçu;
;;;3989;Diário do Oeste (SC);
;;;3990;Diário do Planalto;
;;;3991;Diário do Sul (SC);
;;;3992;Diário do Vale (SC);
;;;3993;Divisa Oeste;
;;;3994;Em Foco;
;;;3995;Enfoque Popular;
;;;3996;Evolução;
;;;3997;Expressão (SC);
;;;3998;Expresso/ O Expresso;
;;;3999;Expresso Catarinense;
;;;4000;Expresso D´oeste;
;;;4001;Extra (SC);
;;;4002;Folha da Cidade (SC);
;;;4003;Folha da Fumaça (SC);
;;;4004;Folha da Manhã (SC);
;;;4005;Folha de Chapecó;
;;;4006;Folha de Criciúma;
;;;4007;Folha de Guabiruba;
;;;4008;Folha de Itaiópolis;
;;;4009;Folha Diário (Ex- Folha de Videira);
;;;4010;Folha do Alto Irani;
;;;4011;Folha do Bairro;
;;;4012;Folha do Norte (SC);
;;;4013;Folha do Oeste;
;;;4014;Folha do s Municípios (SC);
;;;4015;Folha Extremo Oeste;
;;;4016;Folha - O Jornal (Ex Folha do Vale);
;;;4017;Folha Regional (Jaguaruna);
;;;4018;Folha Regional (Xanxerê);
;;;4019;Folha Regional De Criciúma;
;;;4020;Folha SC;
;;;4021;Força D´oeste;
;;;4022;Gazeta (SC);
;;;4023;Gazeta Catarinense;
;;;4024;Gazeta de Itaiópolis;
;;;4025;Gazeta de Riomafra;
;;;4026;Gazeta Oeste;
;;;4027;Gazeta Regional (SC);
;;;4028;Gazeta Serrana;
;;;4029;Gazeta Três Barrense;
;;;4030;Hora De Santa Catarina;
;;;4031;Imagem;
;;;4032;Imagem da Ilha;
;;;4033;Imprensa do Povo;
;;;4034;Impresso Catarinense;
;;;4035;Impresso do Vale Araranguá;
;;;4036;Informação & Negócios;
;;;4037;Informe (Florianópolis);
;;;4038;Informe (Fraiburgo);
;;;4039;Informe Diário;
;;;4040;JM - Jornal Metas;
;;;4041;Jornal A Comarca;
;;;4042;Jornal Atual;
;;;4043;Jornal da Cidade De Navegantes;
;;;4044;Jornal da Educação;
;;;4045;Jornal da Fronteira;
;;;4046;Jornal da Fruta;
;;;4047;Jornal da Manhã (Criciúma);
;;;4048;Jornal da Manhã (Palmitos);
;;;4049;Jornal da Noite;
;;;4050;Jornal da Serra São Joaquim;
;;;4051;Jornal de Blumenau E Região;
;;;4052;Jornal de Capivari;
;;;4053;Jornal de Indaial;
;;;4054;Jornal de Laguna;
;;;4055;Jornal de Olho;
;;;4056;Jornal de Pomerode;
;;;4057;Jornal de Santa Catarina;
;;;4058;Jornal do Comércio (SC);
;;;4059;Jornal do Iririú;
;;;4060;Jornal do Médio Vale;
;;;4061;Jornal do Oeste (SC);
;;;4062;Jornal do Povo (SC);
;;;4063;Jornal Dos Bairros (SC);
;;;4064;Jornal Dos Condomínios;
;;;4065;Jornal Eco;
;;;4066;Jornal Expresso (SC);
;;;4067;Jornal Hoje (Folha da Semana Editorial);
;;;4068;Jornal Nos Bairros;
;;;4069;Jornal O Líder;
;;;4070;Jornal O Líder De Maravilha;
;;;4071;Jornal O Navegantes (Ex - Jornal de Navegantes);
;;;4073;Jornal Urbi (Ex- Correio de Santa Catarina);
;;;4074;Jornal Vip - Vitrine Popular;
;;;4075;Jornal Vitrine Lageana;
;;;4076;Jvc Regional;
;;;4077;Leitura;
;;;4078;Leste Da Ilha;
;;;4079;Liberdade Nas Asas Da Notícia;
;;;4080;Linha Popular;
;;;4081;Miguelito O Mané;
;;;4082;Município Dia A Dia;
;;;4083;Nitro;
;;;4084;No Ponto;
;;;4085;Nosso Bairro Joinville;
;;;4086;Nosso Povo;
;;;4087;Notícias de Biguaçu;
;;;4088;Notícias do Dia (Florianópolis);
;;;4089;Notícias do Dia (Joinville);
;;;4090;Notisul;
;;;4091;Nova Era;
;;;4092;Novoeste;
;;;4093;O Atlântico;
;;;4094;O Barriga Verde;
;;;4095;O Caranguejo;
;;;4096;O Catarinense;
;;;4097;O Celeiro;
;;;4098;O Comércio (SC);
;;;4099;O Correio;
;;;4100;O Correio do Povo;
;;;4101;O Diário (SC);
;;;4102;O Esporte;
;;;4103;O Expresso;
;;;4104;O Falcão;
;;;4105;O Grande Jornal;
;;;4106;O Içarense;
;;;4107;O Imparcial (SC);
;;;4108;O Jornal (SC);
;;;4109;O Jornal (SC);
;;;4110;O Momento;
;;;4111;O Município (SC);
;;;4112;O Nascente Universitário;
;;;4113;O Noroeste;
;;;4114;O Norte (SC);
;;;4115;O Pharol;
;;;4116;O Popular Catarinense (Ex Popular);
;;;4117;O Regional (SC);
;;;4118;O Riossulense;
;;;4119;O Tempo (Araranguá);
;;;4120;O Tempo (Capinzal);
;;;4121;O Tempo (Itajaí);
;;;4122;O Tropeiro;
;;;4123;O Vale (SC);
;;;4124;Oeste Popular;
;;;4125;Oi Capivari;
;;;4126;Oi São José;
;;;4127;Ótimo;
;;;4128;Página 3;
;;;4129;Palavra Palhocense;
;;;4130;Pauta Da Semana De Herval Do Oeste;
;;;4131;Perfil;
;;;4132;Pescaria Brava;
;;;4133;Planalto;
;;;4134;Raízes Diário;
;;;4135;Regional (SC);
;;;4136;Rota Catarinense;
;;;4137;Santa Mônica;
;;;4138;São José Em Foco;
;;;4139;Sem Censura;
;;;4140;Serra Catarinense;
;;;4141;Sul Brasil;
;;;4142;Sul Em Foco;
;;;4143;Testo Notícias Pomerode;
;;;4144;Tribuna A Dois - A2 (Ex - A Segunda) (SC);
;;;4145;Tribuna Catarinense (SC);
;;;4146;Tribuna Regional De Brusque (SC);
;;;4147;Trindade;
;;;4148;Vale Do Itapocu;
;;;4149;Vale Europeu Indaial (Ex Vale Europeu);
;;;4150;Vale Oeste;
;;;4151;Vale Sul;
;;;4152;Vanguarda;
;;;4153;Visão;
;;;4154;Vitrine;
;;;4155;Volta Grande;
;;;4156;Voz do Oeste;
;;;4157;Voz do Vale;
;;;4158;Voz Regional (SC);
;;;4159;Cinform (SE);
;;;4160;Correio de Sergipe;
;;;4161;Jornal da Cidade (SE);
;;;4162;Jornal do Dia (SE);
;;;4163;Super Popular;
;;;4164;A Cidade (Cafelândia) (SP);
;;;4165;A Cidade (Espírito Santo Do Pinhal) (SP);
;;;4166;A Cidade (Guaíra) (SP);
;;;4167;A Cidade (Promissão) (SP);
;;;4168;A Cidade (Ribeirão Preto) (SP);
;;;4169;A Cidade (Santa Gertrudes) (SP);
;;;4170;A Cidade (Votuporanga) (SP);
;;;4171;A Cidade (Cerqueira César) (SP);
;;;4172;A Cidade de Barretos e Região (SP);
;;;4173;A Comarca (Buritama);
;;;4174;A Comarca (Moji-Mirim);
;;;4175;A Federação;
;;;4176;A Gazeta (SP);
;;;4177;A Mococa;
;;;4178;A Notícia (SP);
;;;4179;A Rua;
;;;4180;A Semana de Barretos e Região (SP);
;;;4181;A Tarde (SP);
;;;4182;A Tribuna (SP);
;;;4184;A Tribuna de Rio das Pedras (SP);
;;;4185;A Tribuna Piracicabana (SP);
;;;4186;A Tribuna Regional (SP);
;;;4187;A Voz de Mauá (SP);
;;;4188;A Voz de Ribeirão Pires (SP);
;;;4189;A Voz do Litoral (SP);
;;;4190;A Voz do Vale (SP);
;;;4191;Abc Repórter;
;;;4192;Abcd Maior;
;;;4193;Acontece;
;;;4194;Acontece Agora;
;;;4195;Adc News;
;;;4196;Agora News (SP);
;;;4197;Agora (SP);
;;;4198;Alto Taquaral;
;;;4199;Atenção;
;;;4200;Atibaia Hoje;
;;;4201;Atos;
;;;4202;Atual;
;;;4203;Bem Estar (SP);
;;;4204;Bom Dia Bauru;
;;;4205;Bom Dia Grande Abcd;
;;;4206;Bom Dia Itatiba;
;;;4207;Bom Dia Jundiaí;
;;;4208;Bom Dia Marília;
;;;4209;Bom Dia São José do Rio Preto;
;;;4210;Bom Dia Sorocaba / Itú;
;;;4211;Boqnews ( Ex - Boqueirão);
;;;4212;Bragança Jornal;
;;;4213;Brasil de Fato;
;;;4214;Brasil Econômico;
;;;4215;Brasilturis;
;;;4216;Chico da Boleia;
;;;4217;Cidade de Rio Claro;
;;;4218;Cidade no Foco (SP);
;;;4219;Cidades das Rosas;
;;;4220;Comarca de Garça;
;;;4221;Comércio da Franca;
;;;4222;Comércio de Jahu;
;;;4223;Comunicação Ativa;
;;;4224;Correio de Capivari;
;;;4225;Correio de Itapetininga;
;;;4226;Correio de Lins;
;;;4227;Correio de São Paulo;
;;;4228;Correio do Povo (SP);
;;;4229;Correio Integrado;
;;;4230;Correio Mariliense;
;;;4231;Correio Paulista (Guaratinguetá);
;;;4232;Correio Paulista (Osasco);
;;;4233;Correio Piracicabano;
;;;4234;Correio Popular (SP);
;;;4235;Costa Norte;
;;;4236;Cruzeiro do Sul;
;;;4237;DCI;
;;;4238;Debate Notícias;
;;;4239;Destak (Campinas);
;;;4240;Destak (São Paulo);
;;;4241;Destak ABC;
;;;4242;Destak Fim de Semana;
;;;4243;Diadema Jornal;
;;;4244;Diário da Franca;
;;;4245;Diário da Região (Osasco);
;;;4246;Diário da Região (São José do Rio Preto);
;;;4247;Diário da Serra (SP);
;;;4248;Diário de Assis;
;;;4249;Diário de Guarulhos;
;;;4250;Diário de Itaquá (Ex Jornal de Itaquá);
;;;4251;Diário de Jacareí;
;;;4252;Diário de Marília;
;;;4253;Diário de Notícias (SP);
